The Sting,['5500000'],[1.59616327e+08],[1.54116327e+08]
A Clockwork Orange,['2200000'],[26589000.],[24389000.]
2001: A Space Odyssey,['10500000'],[68700000.],[58200000.]
Per qualche dollaro in pi�,['600000'],[15000000.],[14400000.]
Lawrence of Arabia,['15000000'],[69995385.],[54995385.]
The Apartment,['3000000'],[25000000.],[22000000.]
North by Northwest,['4000000'],[13275000.],[9275000.]
Vertigo,['2479000'],[28000000.],[25521000.]
Singin' in the Rain,['2540800'],[7200000.],[4659200.]
Ladri di biciclette,['133000'],[361712.],[228712.]
Double Indemnity,['927262' '0'],[2500000.       0.],[1572738. -927262.]
Double Indemnity,['927262' '0'],[2500000.       0.],[1572738. -927262.]
Citizen Kane,['839727'],[23217674.],[22377947.]
Metropolis,['92620000' '14500000'],[  650422. 95789342.],[-91969578.   3169342.]
Metropolis,['92620000' '14500000'],[  650422. 95789342.],[-91969578.   3169342.]
The Kid,['250000' '65000000'],[ 2500000. 69700000.],[ 2250000. 69450000.]
The Kid,['250000' '65000000'],[ 2500000. 69700000.],[ 2250000. 69450000.]
Talvar,['0'],[0.],[0.]
Baahubali 2: The Conclusion,['18000000'],[2.3e+08],[2.12e+08]
Drishyam,['0'],[0.],[0.]
Queen,['0'],[0.],[0.]
Mandariinid,['0'],[0.],[0.]
Bhaag Milkha Bhaag,['4600000'],[25000000.],[20400000.]
Udaan,['0'],[0.],[0.]
Paan Singh Tomar,['0'],[0.],[0.]
El secreto de sus ojos,['2000000'],[33965843.],[31965843.]
Warrior,['25000000'],[23057115.],[-1942885.]
Shutter Island,['80000000'],[2.94804195e+08],[2.14804195e+08]
Up,['175000000'],[7.35099082e+08],[5.60099082e+08]
The Wolf of Wall Street,['100000000'],[3.92000694e+08],[2.92000694e+08]
Chak De! India,['0'],[19300000.],[19300000.]
There Will Be Blood,['25000000'],[77208711.],[52208711.]
Toy Story 3,['200000000'],[1.0669697e+09],[8.66969703e+08]
V for Vendetta,['54000000'],[1.32511035e+08],[78511035.]
Rang De Basanti,['2200000'],[11502151.],[9302151.]
Black,['0' '1200000'],[733094.      0.],[733094.      0.]
Black,['0' '1200000'],[733094.      0.],[733094.      0.]
Batman Begins,['150000000'],[3.74218673e+08],[2.24218673e+08]
Der Untergang,['18339750'],[92180910.],[73841160.]
A Beautiful Mind,['60000000'],[3.13542341e+08],[2.53542341e+08]
Hera Pheri,['0'],[0.],[0.]
"Lock, Stock and Two Smoking Barrels",['1350000'],[3897569.],[2547569.]
L.A. Confidential,['35000000'],[1.2621694e+08],[91216940.]
Heat,['60000000' '0' '0'],[1.87436818e+08 0.00000000e+00 0.00000000e+00],[ 1.27436818e+08 -6.00000000e+07 -6.00000000e+07]
Heat,['60000000' '0' '0'],[1.87436818e+08 0.00000000e+00 0.00000000e+00],[ 1.27436818e+08 -6.00000000e+07 -6.00000000e+07]
Heat,['60000000' '0' '0'],[1.87436818e+08 0.00000000e+00 0.00000000e+00],[ 1.27436818e+08 -6.00000000e+07 -6.00000000e+07]
Casino,['52000000'],[1.16112375e+08],[64112375.]
Andaz Apna Apna,['0'],[0.],[0.]
Unforgiven,['14000000'],[1.59157447e+08],[1.45157447e+08]
Indiana Jones and the Last Crusade,['48000000'],[4.74171806e+08],[4.26171806e+08]
Die Hard,['28000000'],[1.40767956e+08],[1.12767956e+08]
Raging Bull,['18000000'],[23000000.],[5000000.]
Stalker,['0'],[0.],[0.]
H�stsonaten,['0'],[0.],[0.]
The Message,['0'],[0.],[0.]
Monty Python and the Holy Grail,['400000'],[5028948.],[4628948.]
The Great Escape,['4000000'],[11744471.],[7744471.]
