Iron Man,['140000000' '0' '0'],[5.85174222e+08 0.00000000e+00 0.00000000e+00],[ 4.45174222e+08 -1.40000000e+08 -1.40000000e+08]
Shaun of the Dead,['4000000'],[30039392.],[26039392.]
Gegen die Wand,['0'],[11030861.],[11030861.]
Mystic River,['25000000'],[1.5682202e+08],[1.3182202e+08]
Harry Potter and the Prisoner of Azkaban,['130000000'],[7.89804554e+08],[6.59804554e+08]
Hable con ella,['9285469'],[51001550.],[41716081.]
No Man's Land,['0' '1012153' '0' '0'],[0. 0. 0. 0.],[0. 0. 0. 0.]
No Man's Land,['0' '1012153' '0' '0'],[0. 0. 0. 0.],[0. 0. 0. 0.]
No Man's Land,['0' '1012153' '0' '0'],[0. 0. 0. 0.],[0. 0. 0. 0.]
No Man's Land,['0' '1012153' '0' '0'],[0. 0. 0. 0.],[0. 0. 0. 0.]
The Bourne Identity,['60000000' '0'],[2.14034224e+08 0.00000000e+00],[ 1.54034224e+08 -6.00000000e+07]
The Bourne Identity,['60000000' '0'],[2.14034224e+08 0.00000000e+00],[ 1.54034224e+08 -6.00000000e+07]
Children of Men,['76000000'],[69959751.],[-6040249.]
Almost Famous,['60000000'],[47383689.],[-12616311.]
Mulholland Dr.,['0'],[0.],[0.]
Toy Story 2,['90000000'],[4.97366869e+08],[4.07366869e+08]
Boogie Nights,['15000000'],[43101594.],[28101594.]
Once Were Warriors,['0'],[2201126.],[2201126.]
True Romance,['12500000'],[12281551.],[-218449.]
Carlito's Way,['30000000'],[36516012.],[6516012.]
Edward Scissorhands,['20000000'],[53000000.],[33000000.]
My Left Foot: The Story of Christy Brown,['645180'],[14743391.],[14098211.]
Crimes and Misdemeanors,['19000000'],[18254702.],[-745298.]
The Untouchables,['25000000'],[76270454.],[51270454.]
Hannah and Her Sisters,['6400000'],[40084041.],[33684041.]
Brazil,['15000000'],[0.],[-15000000.]
This Is Spinal Tap,['2500000'],[4736202.],[2236202.]
A Christmas Story,['0'],[19294144.],[19294144.]
The Blues Brothers,['27000000'],[1.1522989e+08],[88229890.]
Manhattan,['0'],[39946780.],[39946780.]
All That Jazz,['0'],[37823676.],[37823676.]
Dawn of the Dead,['28000000' '650000'],[1.02356381e+08 5.50000000e+07],[74356381. 27000000.]
Dawn of the Dead,['28000000' '650000'],[1.02356381e+08 5.50000000e+07],[74356381. 27000000.]
All the President's Men,['8500000'],[70600000.],[62100000.]
Amarcord,['0'],[0.],[0.]
"Aguirre, der Zorn Gottes",['92000'],[0.],[-92000.]
Harold and Maude,['1200000'],[0.],[-1200000.]
Patton,['12000000'],[89800000.],[77800000.]
The Wild Bunch,['6244087'],[638641.],[-5605446.]
Night of the Living Dead,['114000' '4200000'],[30000000.  5835247.],[29886000.  5721247.]
Night of the Living Dead,['114000' '4200000'],[30000000.  5835247.],[29886000.  5721247.]
The Lion in Winter,['0'],[0.],[0.]
In the Heat of the Night,['2000000'],[27379978.],[25379978.]
Charade,['4000000'],[13474588.],[9474588.]
The Manchurian Candidate,['80000000' '80000000'],[96105910. 96105964.],[16105910. 16105964.]
The Manchurian Candidate,['80000000' '80000000'],[96105910. 96105964.],[16105910. 16105964.]
Spartacus,['12000000' '0'],[60000000.        0.],[ 48000000. -12000000.]
Spartacus,['12000000' '0'],[60000000.        0.],[ 48000000. -12000000.]
L'avventura,['0'],[0.],[0.]
Hiroshima mon amour,['0'],[0.],[0.]
The Ten Commandments,['13000000' '0'],[1.227e+08 0.000e+00],[ 1.097e+08 -1.300e+07]
The Ten Commandments,['13000000' '0'],[1.227e+08 0.000e+00],[ 1.097e+08 -1.300e+07]
The Searchers,['3750000'],[0.],[-3750000.]
East of Eden,['1'],[5.],[4.]
High Noon,['730000' '0'],[8000000.       0.],[7270000. -730000.]
High Noon,['730000' '0'],[8000000.       0.],[7270000. -730000.]
Strangers on a Train,['1200000'],[7000000.],[5800000.]
Harvey,['0' '0'],[0. 0.],[0. 0.]
Harvey,['0' '0'],[0. 0.],[0. 0.]
Miracle on 34th Street,['0' '0'],[46264384.        0.],[46264384.        0.]
Miracle on 34th Street,['0' '0'],[46264384.        0.],[46264384.        0.]
Notorious,['2000000' '0'],[24464742. 43051547.],[22464742. 41051547.]
Notorious,['2000000' '0'],[24464742. 43051547.],[22464742. 41051547.]
The Big Sleep,['0' '0'],[0. 0.],[0. 0.]
The Big Sleep,['0' '0'],[0. 0.],[0. 0.]
The Lost Weekend,['1250000'],[11000000.],[9750000.]
The Philadelphia Story,['0'],[0.],[0.]
His Girl Friday,['0'],[0.],[0.]
The Adventures of Robin Hood,['2033000'],[3981000.],[1948000.]
A Night at the Opera,['0'],[0.],[0.]
King Kong,['672000' '23000000' '207000000'],[1.0000000e+07 9.0614445e+07 5.5000000e+08],[9.3280000e+06 8.9942445e+07 5.4932800e+08]
King Kong,['672000' '23000000' '207000000'],[1.0000000e+07 9.0614445e+07 5.5000000e+08],[9.3280000e+06 8.9942445e+07 5.4932800e+08]
King Kong,['672000' '23000000' '207000000'],[1.0000000e+07 9.0614445e+07 5.5000000e+08],[9.3280000e+06 8.9942445e+07 5.4932800e+08]
Freaks,['0'],[0.],[0.]
Dunkirk,['0' '100000000'],[0.00000000e+00 5.19876949e+08],[0.00000000e+00 5.19876949e+08]
Dunkirk,['0' '100000000'],[0.00000000e+00 5.19876949e+08],[0.00000000e+00 5.19876949e+08]
Perfetti sconosciuti,['0'],[0.],[0.]
Hidden Figures,['25000000'],[2.30698791e+08],[2.05698791e+08]
Kubo and the Two Strings,['60000000'],[69929545.],[9929545.]
Manchester by the Sea,['9000000'],[75026965.],[66026965.]
Under sandet,['5070773'],[0.],[-5070773.]
Captain America: Civil War,['250000000'],[1.1533045e+09],[9.03304495e+08]
The Hateful Eight,['44000000'],[1.55760117e+08],[1.11760117e+08]
Little Women,['18000000' '424' '0'],[0. 0. 0.],[-18000000. -18000000. -18000000.]
Little Women,['18000000' '424' '0'],[0. 0. 0.],[-18000000. -18000000. -18000000.]
Little Women,['18000000' '424' '0'],[0. 0. 0.],[-18000000. -18000000. -18000000.]
Pride,['0' '0'],[      0. 7523634.],[      0. 7523634.]
Pride,['0' '0'],[      0. 7523634.],[      0. 7523634.]
Le pass�,['11000000'],[10631747.],[-368253.]
La grande bellezza,['12400000'],[8371085.],[-4028915.]
Vicky Donor,['0'],[0.],[0.]
Big Hero 6,['165000000'],[6.52105443e+08],[4.87105443e+08]
About Time,['12000000'],[87100449.],[75100449.]
English Vinglish,['2840000'],[11620000.],[8780000.]
La migliore offerta,['13500000'],[19255873.],[5755873.]
Moonrise Kingdom,['16000000'],[68263166.],[52263166.]
How to Train Your Dragon 2,['145000000'],[6.09123048e+08],[4.64123048e+08]
The Big Short,['28000000'],[1.33346506e+08],[1.05346506e+08]
The Girl with the Dragon Tattoo,['90000000'],[2.3261743e+08],[1.4261743e+08]
Captain Phillips,['55000000'],[95000000.],[40000000.]
Straight Outta Compton,['28000000'],[2.01634991e+08],[1.73634991e+08]
The Hobbit: The Desolation of Smaug,['250000000'],[9.584e+08],[7.084e+08]
M�n som hatar kvinnor,['13000000'],[1.04345682e+08],[91345682.]
The Fighter,['25000000'],[93617009.],[68617009.]
Taken,['25000000' '0'],[2.26830568e+08 0.00000000e+00],[ 2.01830568e+08 -2.50000000e+07]
Taken,['25000000' '0'],[2.26830568e+08 0.00000000e+00],[ 2.01830568e+08 -2.50000000e+07]
The Boy in the Striped Pyjamas,['12500000'],[20416563.],[7916563.]
Once,['160000'],[20710513.],[20550513.]
The Hobbit: An Unexpected Journey,['250000000'],[1.02110357e+09],[7.71103568e+08]
Auf der anderen Seite,['3800000'],[17804565.],[14004565.]
Atonement,['30000000'],[1.29266061e+08],[99266061.]
Drive,['15000000' '3500000'],[78054825.        0.],[ 63054825. -15000000.]
Drive,['15000000' '3500000'],[78054825.        0.],[ 63054825. -15000000.]
American Gangster,['100000000'],[2.66465037e+08],[1.66465037e+08]
Avatar,['237000000'],[2.78796509e+09],[2.55096509e+09]
Mr. Nobody,['47000000'],[3547209.],[-43452791.]
Apocalypto,['40000000'],[1.2017529e+08],[80175290.]
Little Miss Sunshine,['8000000'],[1.00523181e+08],[92523181.]
Hot Fuzz,['12000000'],[80573774.],[68573774.]
The Curious Case of Benjamin Button,['150000000'],[3.33932083e+08],[1.83932083e+08]
Veer-Zaara,['7000000'],[29385320.],[22385320.]
Adams �bler,['3700000'],[0.],[-3700000.]
Pride & Prejudice,['28000000'],[1.21147947e+08],[93147947.]
The World's Fastest Indian,['25000000'],[0.],[-25000000.]
Serenity,['39000000'],[38869464.],[-130536.]
Walk the Line,['28000000'],[1.86438883e+08],[1.58438883e+08]
Ondskan,['0'],[0.],[0.]
The Notebook,['29000000'],[1.15603229e+08],[86603229.]
Diarios de motocicleta,['0'],[16756372.],[16756372.]
Les triplettes de Belleville,['8000000'],[1477676.],[-6522324.]
The Count of Monte Cristo,['35000000' '0'],[75395048.        0.],[ 40395048. -35000000.]
The Count of Monte Cristo,['35000000' '0'],[75395048.        0.],[ 40395048. -35000000.]
Waking Life,['0'],[3176880.],[3176880.]
Remember the Titans,['30000000'],[1.36706683e+08],[1.06706683e+08]
Todo sobre mi madre,['8272296'],[67872296.],[59600000.]
Cast Away,['90000000'],[4.29632142e+08],[3.39632142e+08]
The Boondock Saints,['6000000'],[30471.],[-5969529.]
The Insider,['90000000'],[60289912.],[-29710088.]
October Sky,['0'],[0.],[0.]
Shrek,['60000000'],[4.84409218e+08],[4.24409218e+08]
Titanic,['200000000' '1805000' '13000000'],[1.84503419e+09 4.90500000e+06 0.00000000e+00],[ 1.64503419e+09 -1.95095000e+08 -2.00000000e+08]
Titanic,['200000000' '1805000' '13000000'],[1.84503419e+09 4.90500000e+06 0.00000000e+00],[ 1.64503419e+09 -1.95095000e+08 -2.00000000e+08]
Titanic,['200000000' '1805000' '13000000'],[1.84503419e+09 4.90500000e+06 0.00000000e+00],[ 1.64503419e+09 -1.95095000e+08 -2.00000000e+08]
Gattaca,['36000000'],[12532777.],[-23467223.]
The Game,['50000000'],[1.09423648e+08],[59423648.]
Breaking the Waves,['0'],[3803298.],[3803298.]
Ed Wood,['18000000'],[5887457.],[-12112543.]
What's Eating Gilbert Grape,['11000000'],[10032765.],[-967235.]
Tombstone,['25000000'],[56505065.],[31505065.]
The Sandlot,['0'],[32416586.],[32416586.]
The Remains of the Day,['11500000'],[23237911.],[11737911.]
Naked,['0' '0'],[0. 0.],[0. 0.]
Naked,['0' '0'],[0. 0.],[0. 0.]
The Fugitive,['44000000' '0'],[3.6887576e+08 0.0000000e+00],[ 3.2487576e+08 -4.4000000e+07]
The Fugitive,['44000000' '0'],[3.6887576e+08 0.0000000e+00],[ 3.2487576e+08 -4.4000000e+07]
A Bronx Tale,['22000000'],[17287898.],[-4712102.]
Batman: Mask of the Phantasm,['6000000'],[5617391.],[-382609.]
Night on Earth,['3500000'],[2015810.],[-1484190.]
La double vie de V�ronique,['0'],[1999955.],[1999955.]
Boyz n the Hood,['6500000'],[57504069.],[51004069.]
Misery,['20000000'],[61276872.],[41276872.]
Awakenings,['0'],[52096475.],[52096475.]
Glory,['18000000'],[26828365.],[8828365.]
Back to the Future Part II,['40000000'],[3.32e+08],[2.92e+08]
Mississippi Burning,['15000000'],[34604000.],[19604000.]
Predator,['18000000'],[98235548.],[80235548.]
Evil Dead II,['3600000'],[5923044.],[2323044.]
Ferris Bueller's Day Off,['6000000'],[70136369.],[64136369.]
Down by Law,['0'],[0.],[0.]
The Goonies,['19000000'],[61503218.],[42503218.]
The Color Purple,['15000000'],[1.46292009e+08],[1.31292009e+08]
The Breakfast Club,['1000000'],[51525171.],[50525171.]
The Killing Fields,['14400000'],[34700291.],[20300291.]
Ghostbusters,['30000000' '144000000'],[2.95212467e+08 2.29147509e+08],[2.65212467e+08 1.99147509e+08]
Ghostbusters,['30000000' '144000000'],[2.95212467e+08 2.29147509e+08],[2.65212467e+08 1.99147509e+08]
The Right Stuff,['27000000'],[21500000.],[-5500000.]
The King of Comedy,['20000000'],[0.],[-20000000.]
E.T. the Extra-Terrestrial,['10500000'],[7.92965326e+08],[7.82465326e+08]
Kramer vs. Kramer,['8000000'],[1.0626e+08],[98260000.]
Days of Heaven,['0'],[0.],[0.]
The Outlaw Josey Wales,['3700000'],[31800000.],[28100000.]
The Man Who Would Be King,['0'],[0.],[0.]
The Conversation,['1600000'],[4420000.],[2820000.]
La plan�te sauvage,['0'],[0.],[0.]
The Day of the Jackal,['0'],[0.],[0.]
Badlands,['0'],[0.],[0.]
Cabaret,['6000000'],[0.],[-6000000.]
Willy Wonka & the Chocolate Factory,['3000000'],[4000000.],[1000000.]
Midnight Cowboy,['3600000'],[44785053.],[41185053.]
Wait Until Dark,['4000000'],[11000000.],[7000000.]
Guess Who's Coming to Dinner,['4000000'],[56666667.],[52666667.]
Bonnie and Clyde,['2500000'],[50700000.],[48200000.]
My Fair Lady,['17000000'],[72070731.],[55070731.]
Mary Poppins,['6000000'],[1.02272727e+08],[96272727.]
The Longest Day,['10000000'],[50100000.],[40100000.]
Jules et Jim,['0'],[0.],[0.]
The Innocents,['0'],[0.],[0.]
� bout de souffle,['0'],[0.],[0.]
Red River,['3000000'],[9012000.],[6012000.]
Key Largo,['0'],[0.],[0.]
To Have and Have Not,['0'],[3650000.],[3650000.]
Shadow of a Doubt,['0'],[0.],[0.]
Stagecoach,['531374' '0'],[1103757.       0.],[ 572383. -531374.]
Stagecoach,['531374' '0'],[1103757.       0.],[ 572383. -531374.]
The Lady Vanishes,['0' '0' '0'],[0. 0. 0.],[0. 0. 0.]
The Lady Vanishes,['0' '0' '0'],[0. 0. 0.],[0. 0. 0.]
The Lady Vanishes,['0' '0' '0'],[0. 0. 0.],[0. 0. 0.]
Bringing Up Baby,['1073000'],[0.],[-1073000.]
Bride of Frankenstein,['393750'],[0.],[-393750.]
Duck Soup,['0'],[0.],[0.]
Frankenstein,['45000000' '291000' '0' '0' '0' '0'],"[1.12006296e+08 1.20000000e+07 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",[ 67006296. -33000000. -45000000. -45000000. -45000000. -45000000.]
Frankenstein,['45000000' '291000' '0' '0' '0' '0'],"[1.12006296e+08 1.20000000e+07 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",[ 67006296. -33000000. -45000000. -45000000. -45000000. -45000000.]
Frankenstein,['45000000' '291000' '0' '0' '0' '0'],"[1.12006296e+08 1.20000000e+07 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",[ 67006296. -33000000. -45000000. -45000000. -45000000. -45000000.]
Frankenstein,['45000000' '291000' '0' '0' '0' '0'],"[1.12006296e+08 1.20000000e+07 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",[ 67006296. -33000000. -45000000. -45000000. -45000000. -45000000.]
Frankenstein,['45000000' '291000' '0' '0' '0' '0'],"[1.12006296e+08 1.20000000e+07 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",[ 67006296. -33000000. -45000000. -45000000. -45000000. -45000000.]
Frankenstein,['45000000' '291000' '0' '0' '0' '0'],"[1.12006296e+08 1.20000000e+07 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",[ 67006296. -33000000. -45000000. -45000000. -45000000. -45000000.]
Roma,['0' '2763806'],[0. 0.],[0. 0.]
Roma,['0' '2763806'],[0. 0.],[0. 0.]
God's Own Country,['0'],[0.],[0.]
Wind River,['11000000'],[1.84770205e+08],[1.73770205e+08]
Get Out,['5000000' '0'],[2.5243425e+08 0.0000000e+00],[ 2.4743425e+08 -5.0000000e+06]
Get Out,['5000000' '0'],[2.5243425e+08 0.0000000e+00],[ 2.4743425e+08 -5.0000000e+06]
En man som heter Ove,['0'],[3371692.],[3371692.]
What We Do in the Shadows,['0'],[3333000.],[3333000.]
The Theory of Everything,['0' '15000000'],[0.00000000e+00 1.23726688e+08],[0.00000000e+00 1.23726688e+08]
The Theory of Everything,['0' '15000000'],[0.00000000e+00 1.23726688e+08],[0.00000000e+00 1.23726688e+08]
Kingsman: The Secret Service,['81000000'],[4.14351546e+08],[3.33351546e+08]
The Fault in Our Stars,['12000000'],[3.07166834e+08],[2.95166834e+08]
Me and Earl and the Dying Girl,['0'],[0.],[0.]
The Broken Circle Breakdown,['0'],[5475058.],[5475058.]
Captain America: The Winter Soldier,['170000000'],[7.14766572e+08],[5.44766572e+08]
Rockstar,['10920000'],[19660000.],[8740000.]
Nebraska,['12000000'],[17654912.],[5654912.]
Wreck-It Ralph,['165000000'],[4.71222889e+08],[3.06222889e+08]
Detachment,['0'],[72689.],[72689.]
Midnight in Paris,['30000000'],[1.51119219e+08],[1.21119219e+08]
The Lego Movie,['60000000'],[4.69160692e+08],[4.09160692e+08]
Gravity,['105000000'],[7.16392705e+08],[6.11392705e+08]
Star Trek Into Darkness,['190000000'],[4.67365246e+08],[2.77365246e+08]
Beasts of No Nation,['6000000'],[9077700.],[3077700.]
The Social Network,['40000000'],[2.24920315e+08],[1.84920315e+08]
The Hangover,['35000000'],[4.59270619e+08],[4.24270619e+08]
Skyfall,['200000000'],[1.10856101e+09],[9.08561013e+08]
Silver Linings Playbook,['21000000'],[2.05738714e+08],[1.84738714e+08]
Argo,['44500000'],[2.32324128e+08],[1.87824128e+08]
(500) Days of Summer,['7500000'],[60722734.],[53222734.]
Harry Potter and the Deathly Hallows: Part 1,['250000000'],[9.54305868e+08],[7.04305868e+08]
Frost/Nixon,['0'],[0.],[0.]
Changeling,['55000000'],[1.13020255e+08],[58020255.]
Flipped,['14000000'],[1755212.],[-12244788.]
This Is England,['2380000'],[8176544.],[5796544.]
Ex Machina,['15000000'],[36869414.],[21869414.]
Efter brylluppet,['0'],[0.],[0.]
The Last King of Scotland,['6000000'],[48027970.],[42027970.]
Zodiac,['65000000' '0'],[84785914.        0.],[ 19785914. -65000000.]
Zodiac,['65000000' '0'],[84785914.        0.],[ 19785914. -65000000.]
Lucky Number Slevin,['27000000'],[56308881.],[29308881.]
Joyeux No�l,['22000000'],[17709155.],[-4290845.]
Control,['6800000' '0'],[      0. 8159508.],[-6800000.  1359508.]
Control,['6800000' '0'],[      0. 8159508.],[-6800000.  1359508.]
Tangled,['260000000' '0'],[5.91794936e+08 0.00000000e+00],[ 3.31794936e+08 -2.60000000e+08]
Tangled,['260000000' '0'],[5.91794936e+08 0.00000000e+00],[ 3.31794936e+08 -2.60000000e+08]
Zwartboek,['21000000'],[26193068.],[5193068.]
Brokeback Mountain,['14000000'],[1.78043761e+08],[1.64043761e+08]
3:10 to Yuma,['0' '55000000'],[       0. 70016220.],[       0. 70016220.]
3:10 to Yuma,['0' '55000000'],[       0. 70016220.],[       0. 70016220.]
Crash,['10000000' '6500000'],[       0. 98410061.],[-10000000.  88410061.]
Crash,['10000000' '6500000'],[       0. 98410061.],[-10000000.  88410061.]
The Bourne Supremacy,['75000000'],[2.88500217e+08],[2.13500217e+08]
The Machinist,['5000000'],[8203235.],[3203235.]
Ray,['40000000'],[1.24731534e+08],[84731534.]
Lost in Translation,['4000000'],[1.19723856e+08],[1.15723856e+08]
Harry Potter and the Goblet of Fire,['150000000'],[8.95921036e+08],[7.45921036e+08]
Man on Fire,['70000000' '0'],[1.30293714e+08 0.00000000e+00],[ 60293714. -70000000.]
Man on Fire,['70000000' '0'],[1.30293714e+08 0.00000000e+00],[ 60293714. -70000000.]
Coraline,['60000000'],[1.24596398e+08],[64596398.]
The Last Samurai,['140000000'],[4.56758981e+08],[3.16758981e+08]
The Magdalene Sisters,['0'],[20957001.],[20957001.]
In America,['0'],[0.],[0.]
I Am Sam,['22000000'],[92542418.],[70542418.]
Adaptation.,['19000000'],[32801173.],[13801173.]
Black Hawk Down,['92000000'],[1.72989651e+08],[80989651.]
Road to Perdition,['80000000'],[1.81001478e+08],[1.01001478e+08]
Das Experiment,['0'],[0.],[0.]
Billy Elliot,['5000000'],[1.1e+08],[1.05e+08]
Hedwig and the Angry Inch,['0'],[0.],[0.]
Ocean's Eleven,['0' '85000000'],[0.0000000e+00 4.5071715e+08],[0.0000000e+00 4.5071715e+08]
Ocean's Eleven,['0' '85000000'],[0.0000000e+00 4.5071715e+08],[0.0000000e+00 4.5071715e+08]
"O Brother, Where Art Thou?",['26000000'],[71868327.],[45868327.]
"South Park: Bigger, Longer & Uncut",['21000000'],[0.],[-21000000.]
Office Space,['10000000'],[12827813.],[2827813.]
Happiness,['3000000' '0'],[2807390.       0.],[ -192610. -3000000.]
Happiness,['3000000' '0'],[2807390.       0.],[ -192610. -3000000.]
Training Day,['45000000'],[1.04876233e+08],[59876233.]
Rushmore,['9000000'],[17096053.],[8096053.]
Abre los ojos,['2900000'],[368234.],[-2531766.]
Being John Malkovich,['13000000'],[22863596.],[9863596.]
As Good as It Gets,['50000000'],[3.14178011e+08],[2.64178011e+08]
The Fifth Element,['90000000'],[2.6392018e+08],[1.7392018e+08]
Donnie Brasco,['35000000'],[41954997.],[6954997.]
Shine,['0'],[0.],[0.]
Primal Fear,['30000000'],[1.02616183e+08],[72616183.]
Hamlet,['0' '750000' '2000000' '0' '0' '0' '0' '0'],"[       0.        0.  1568749. 20710451.        0.        0.        0.
        0.]","[       0.        0.  1568749. 20710451.        0.        0.        0.
        0.]"
Hamlet,['0' '750000' '2000000' '0' '0' '0' '0' '0'],"[       0.        0.  1568749. 20710451.        0.        0.        0.
        0.]","[       0.        0.  1568749. 20710451.        0.        0.        0.
        0.]"
Hamlet,['0' '750000' '2000000' '0' '0' '0' '0' '0'],"[       0.        0.  1568749. 20710451.        0.        0.        0.
        0.]","[       0.        0.  1568749. 20710451.        0.        0.        0.
        0.]"
Hamlet,['0' '750000' '2000000' '0' '0' '0' '0' '0'],"[       0.        0.  1568749. 20710451.        0.        0.        0.
        0.]","[       0.        0.  1568749. 20710451.        0.        0.        0.
        0.]"
Hamlet,['0' '750000' '2000000' '0' '0' '0' '0' '0'],"[       0.        0.  1568749. 20710451.        0.        0.        0.
        0.]","[       0.        0.  1568749. 20710451.        0.        0.        0.
        0.]"
Hamlet,['0' '750000' '2000000' '0' '0' '0' '0' '0'],"[       0.        0.  1568749. 20710451.        0.        0.        0.
        0.]","[       0.        0.  1568749. 20710451.        0.        0.        0.
        0.]"
Hamlet,['0' '750000' '2000000' '0' '0' '0' '0' '0'],"[       0.        0.  1568749. 20710451.        0.        0.        0.
        0.]","[       0.        0.  1568749. 20710451.        0.        0.        0.
        0.]"
Hamlet,['0' '750000' '2000000' '0' '0' '0' '0' '0'],"[       0.        0.  1568749. 20710451.        0.        0.        0.
        0.]","[       0.        0.  1568749. 20710451.        0.        0.        0.
        0.]"
A Little Princess,['17000000' '0'],[0. 0.],[-17000000. -17000000.]
A Little Princess,['17000000' '0'],[0. 0.],[-17000000. -17000000.]
Il postino,['0'],[0.],[0.]
Clerks,['27000'],[3151130.],[3124130.]
Short Cuts,['0'],[6110979.],[6110979.]
Philadelphia,['26000000'],[2.0667844e+08],[1.8067844e+08]
The Muppet Christmas Carol,['0'],[27281507.],[27281507.]
Malcolm X,['34000000' '0'],[48169908.        0.],[ 14169908. -34000000.]
Malcolm X,['34000000' '0'],[48169908.        0.],[ 14169908. -34000000.]
The Last of the Mohicans,['40000000' '0' '0'],[75505856.        0.        0.],[ 35505856. -40000000. -40000000.]
The Last of the Mohicans,['40000000' '0' '0'],[75505856.        0.        0.],[ 35505856. -40000000. -40000000.]
The Last of the Mohicans,['40000000' '0' '0'],[75505856.        0.        0.],[ 35505856. -40000000. -40000000.]
Glengarry Glen Ross,['12500000'],[10725228.],[-1774772.]
A Few Good Men,['40000000'],[2.43240178e+08],[2.03240178e+08]
Fried Green Tomatoes,['11000000'],[1.19418501e+08],[1.08418501e+08]
Barton Fink,['9000000'],[6153939.],[-2846061.]
Miller's Crossing,['14000000'],[5080409.],[-8919591.]
Who Framed Roger Rabbit,['70000000'],[3.29803958e+08],[2.59803958e+08]
Spoorloos,['0'],[0.],[0.]
Withnail & I,['0'],[0.],[0.]
The Last Emperor,['23000000'],[43984230.],[20984230.]
Empire of the Sun,['35000000'],[22238696.],[-12761304.]
Blue Velvet,['6000000'],[8551228.],[2551228.]
The Purple Rose of Cairo,['15000000'],[10631333.],[-4368667.]
After Hours,['4500000'],[10609321.],[6109321.]
Zelig,['0'],[11798616.],[11798616.]
The Verdict,['16000000' '0'],[53977250.        0.],[ 37977250. -16000000.]
The Verdict,['16000000' '0'],[53977250.        0.],[ 37977250. -16000000.]
Star Trek II: The Wrath of Khan,['12000000'],[96800000.],[84800000.]
First Blood,['15000000'],[1.25212904e+08],[1.10212904e+08]
Ordinary People,['6000000'],[0.],[-6000000.]
Airplane!,['3500000'],[83453539.],[79953539.]
Rupan sansei: Kariosutoro no shiro,['0'],[0.],[0.]
Halloween,['300000' '15000000' '0'],[70000000. 80253908.        0.],[69700000. 79953908.  -300000.]
Halloween,['300000' '15000000' '0'],[70000000. 80253908.        0.],[69700000. 79953908.  -300000.]
Halloween,['300000' '15000000' '0'],[70000000. 80253908.        0.],[69700000. 79953908.  -300000.]
Le locataire,['0'],[0.],[0.]
Love and Death,['3000000'],[20173742.],[17173742.]
The Taking of Pelham One Two Three,['0'],[0.],[0.]
Blazing Saddles,['2600000'],[1.195e+08],[1.169e+08]
Serpico,['3000000'],[29800000.],[26800000.]
Enter the Dragon,['850000'],[90000000.],[89150000.]
Deliverance,['2000000'],[46122355.],[44122355.]
The French Connection,['1800000'],[41158757.],[39358757.]
Dirty Harry,['4000000'],[35976000.],[31976000.]
Where Eagles Dare,['7700000'],[21000000.],[13300000.]
The Odd Couple,['0'],[44527234.],[44527234.]
The Dirty Dozen,['5400000'],[45300000.],[39900000.]
Belle de jour,['0'],[0.],[0.]
A Man for All Seasons,['3900000'],[28350000.],[24450000.]
Repulsion,['300000'],[0.],[-300000.]
Zulu,['3500000' '16000000'],[8000000.       0.],[ 4500000. -3500000.]
Zulu,['3500000' '16000000'],[8000000.       0.],[ 4500000. -3500000.]
Goldfinger,['2500000'],[1.24881062e+08],[1.22381062e+08]
The Birds,['2500000'],[11403529.],[8903529.]
Cape Fear,['35000000' '0'],[1.823e+08 0.000e+00],[ 1.473e+08 -3.500e+07]
Cape Fear,['35000000' '0'],[1.823e+08 0.000e+00],[ 1.473e+08 -3.500e+07]
Peeping Tom,['150000'],[83957.],[-66043.]
The Magnificent Seven,['2000000' '90000000'],[4.90500000e+06 1.62360636e+08],[2.90500000e+06 1.60360636e+08]
The Magnificent Seven,['2000000' '90000000'],[4.90500000e+06 1.62360636e+08],[2.90500000e+06 1.60360636e+08]
Invasion of the Body Snatchers,['417000' '3500000'],[       0. 24046533.],[ -417000. 23629533.]
Invasion of the Body Snatchers,['417000' '3500000'],[       0. 24046533.],[ -417000. 23629533.]
Rebel Without a Cause,['1500000'],[0.],[-1500000.]
The Ladykillers,['0' '0'],[0. 0.],[0. 0.]
The Ladykillers,['0' '0'],[0. 0.],[0. 0.]
Sabrina,['58000000' '2238813'],[       0. 10000000.],[-58000000. -48000000.]
Sabrina,['58000000' '2238813'],[       0. 10000000.],[-58000000. -48000000.]
The Quiet Man,['0'],[0.],[0.]
The Day the Earth Stood Still,['1200000' '80000000'],[0.00000000e+00 2.33093859e+08],[-1.20000000e+06  2.31893859e+08]
The Day the Earth Stood Still,['1200000' '80000000'],[0.00000000e+00 2.33093859e+08],[-1.20000000e+06  2.31893859e+08]
The African Queen,['1300000'],[10750000.],[9450000.]
Gilda,['0'],[0.],[0.]
Fantasia,['2280000'],[83320000.],[81040000.]
The Invisible Man,['328000'],[0.],[-328000.]
Gifted,['7000000'],[37461045.],[30461045.]
Victoria,['0' '0'],[3191998.       0.],[3191998.       0.]
